framenumber,Timestamp,Pose-X,Pose-Y,Headrate,VelocityYaw,Standstill,Direction,CarSpeed,FrontWheelAngle
5218,2807788913,45.896999999999998465,-3.1450000000000000178,-1.2507846355438232422,0.12273051556660051487,0,1,1.015625,0.33215543627738952637
5219,2807808877,45.905999999999998806,-3.1720000000000001528,-1.2483321428298950195,0.12284575806092079553,0,1,1.015625,0.33215543627738952637
5220,2807828915,45.910000000000003695,-3.1859999999999999432,-1.2458873987197875977,0.12200539525438774957,0,1,1.015625,0.33215543627738952637
5221,2807848913,45.919000000000004036,-3.2130000000000000782,-1.2434275150299070045,0.12300648514253281762,0,1,1.015625,0.33215543627738952637
5222,2807868800,45.929000000000002046,-3.2400000000000002132,-1.2409768104553222656,0.12323148662870021808,0,1,1.015625,0.33215543627738952637
5223,2807868800,45.929000000000002046,-3.2400000000000002132,-1.2409768104553222656,0.12240881472826004028,0,1,1.03125,0.33330926299095153809
5224,2807888852,45.929000000000002046,-3.2400000000000002132,-1.2385349273681640625,0.12177753277270113308,0,1,1.03125,0.33330926299095153809
5225,2807908814,45.938000000000002387,-3.2669999999999999041,-1.2361092567443847656,0.12151440856523879064,0,1,1.03125,0.33330926299095153809
5226,2807928803,45.947000000000002728,-3.2940000000000000391,-1.2336755990982055664,0.12174984472355791787,0,1,1.03125,0.33330926299095153809
5227,2807948914,45.951999999999998181,-3.3069999999999999396,-1.2311978340148923561,0.12320446936069753829,0,1,1.03125,0.33330926299095153809
5228,2807968879,45.957000000000000739,-3.3210000000000001741,-1.2287691831588745117,0.12164542228991066797,0,1,1.03125,0.33330926299095153809
5229,2807968879,45.957000000000000739,-3.3210000000000001741,-1.2287691831588745117,0.12055142223834991455,0,1,1.03125,0.33519735932350158691
5230,2807988901,45.96600000000000108,-3.347999999999999865,-1.226312875747680442,0.122680422095387473,0,1,1.03125,0.33519735932350158691
5231,2808008897,45.971000000000003638,-3.3610000000000002096,-1.223867654800414817,0.12228550446417409125,0,1,1.03125,0.33519735932350158691
5232,2808028916,45.981000000000001648,-3.3879999999999999005,-1.2214440107345581055,0.12106718946285698058,0,1,1.03125,0.33519735932350158691
5233,2808048893,45.990999999999999659,-3.4150000000000000355,-1.2189885377883911133,0.12291499955784113141,0,1,1.03125,0.33519735932350158691
5234,2808068824,45.990999999999999659,-3.4150000000000000355,-1.2165855169296264648,0.12056699908507592656,0,1,1.03125,0.33519735932350158691
5235,2808068824,45.990999999999999659,-3.4150000000000000355,-1.2165855169296264648,0.12148011475801467896,0,1,1.03125,0.33760994672775268555
5236,2808088843,46.000999999999997669,-3.4420000000000001705,-1.214112401008605957,0.12353843453821410081,0,1,1.03125,0.33760994672775268555
5237,2808108806,46.006000000000000227,-3.4550000000000000711,-1.2116986513137817383,0.12091117040646290337,0,1,1.03125,0.33760994672775268555
5238,2808128841,46.015999999999998238,-3.4820000000000002061,-1.2092595100402832031,0.12174401165453131723,0,1,1.03125,0.33760994672775268555
5239,2808148848,46.021000000000000796,-3.4950000000000001066,-1.2068601846694946289,0.11992429503616605646,0,1,1.03125,0.33760994672775268555
5240,2808168806,46.026000000000003354,-3.508999999999999897,-1.2044543027877807617,0.1205472432966162577,0,1,1.03125,0.33760994672775268555
5241,2808168806,46.026000000000003354,-3.508999999999999897,-1.2044543027877807617,0.12015341967344284058,0,1,1.03125,0.34033715724945068359
5242,2808189061,46.036000000000001364,-3.5350000000000001421,-1.202061772346496582,0.11812048586937447248,0,1,1.03125,0.34033715724945068359
5243,2808208835,46.04700000000000415,-3.5620000000000002771,-1.1997218132019042969,0.118335144360892347,0,1,1.03125,0.34033715724945068359
5244,2808228816,46.04700000000000415,-3.5620000000000002771,-1.1973905563354492188,0.11667368332190972136,0,1,1.03125,0.34033715724945068359
5245,2808248851,46.05700000000000216,-3.588999999999999968,-1.1950331926345822975,0.11766227606022955365,0,1,1.03125,0.34033715724945068359
5246,2808268846,46.061999999999997613,-3.6019999999999998685,-1.192711949348449707,0.11609118710341648217,0,1,1.03125,0.34033715724945068359
5247,2808268846,46.061999999999997613,-3.6019999999999998685,-1.192711949348449707,0.11517828702926635742,0,1,1.015625,0.34348398447036743164
5248,2808289019,46.073000000000000398,-3.6290000000000000036,-1.1903587579727172852,0.11665054160176581421,0,1,1.015625,0.34348398447036743164
5249,2808308840,46.078000000000002956,-3.6419999999999999041,-1.1880557537078857422,0.11619011476875754085,0,1,1.015625,0.34348398447036743164
5250,2808328856,46.084000000000003183,-3.6550000000000002487,-1.1857509613037107155,0.11514750220697465843,0,1,1.015625,0.34348398447036743164
5251,2808348828,46.094000000000001194,-3.6819999999999999396,-1.1834082603454589844,0.11729926688623838749,0,1,1.015625,0.34348398447036743164
5252,2808368840,46.100000000000001421,-3.6950000000000002842,-1.1810674667358398438,0.11696949878168802495,0,1,1.015625,0.34348398447036743164
5253,2808368840,46.100000000000001421,-3.6950000000000002842,-1.1810674667358398438,0.11716834455728530884,0,1,0.984375,0.34726020693778991699
5254,2808388973,46.105000000000003979,-3.7080000000000001847,-1.178738713264465332,0.11566847818877026843,0,1,0.984375,0.34726020693778991699
5255,2808408815,46.115999999999999659,-3.7339999999999999858,-1.17644989490509011,0.1153522003515270733,0,1,0.984375,0.34726020693778991699
5256,2808428836,46.121999999999999886,-3.7480000000000002203,-1.1741454601287841797,0.11510088288827492742,0,1,0.984375,0.34726020693778991699
5257,2808448857,46.127000000000002444,-3.7610000000000001208,-1.1719192266464235619,0.11119491945261673893,0,1,0.984375,0.34726020693778991699
5258,2808468806,46.133000000000002672,-3.7740000000000000213,-1.1696498394012451172,0.11375944885348754365,0,1,0.984375,0.34726020693778991699
5259,2808468806,46.133000000000002672,-3.7740000000000000213,-1.1696498394012451172,0.11424959450960159302,0,1,0.953125,0.35166576504707336426
5260,2808488928,46.143999999999998352,-3.8000000000000002665,-1.1673862934112548828,0.11249110376653585763,0,1,0.953125,0.35166576504707336426
5261,2808508842,46.143999999999998352,-3.8000000000000002665,-1.1651567220687866211,0.11195999510235321583,0,1,0.953125,0.35166576504707336426
5262,2808528816,46.155000000000001137,-3.8269999999999999574,-1.1629654169082641602,0.10970787826787128938,0,1,0.953125,0.35166576504707336426
5263,2808548850,46.167000000000001592,-3.8530000000000002025,-1.1607661247253420189,0.10977798656895094986,0,1,0.953125,0.35166576504707336426
5264,2808568835,46.17200000000000415,-3.866000000000000103,-1.1586186885833740234,0.10745239639568543444,0,1,0.953125,0.35166576504707336426
5265,2808568835,46.17200000000000415,-3.866000000000000103,-1.1586186885833740234,0.10754976421594619751,0,1,0.921875,0.35680559277534484863
5266,2808588888,46.178000000000004377,-3.8790000000000000036,-1.1564308404922483131,0.10910328086199015674,0,1,0.921875,0.35680559277534484863
5267,2808608836,46.183999999999997499,-3.8919999999999999041,-1.1542754173278808594,0.10805209366190474118,0,1,0.921875,0.35680559277534484863
5268,2808628839,46.189999999999997726,-3.9050000000000002487,-1.1521173715591430664,0.10788610552106149554,0,1,0.921875,0.35680559277534484863
5269,2808648814,46.195999999999997954,-3.9180000000000001492,-1.1499994993209838867,0.10602614458869485947,0,1,0.921875,0.35680559277534484863
5270,2808668842,46.207000000000000739,-3.9439999999999999503,-1.1478352546691894531,0.10806094726355269797,0,1,0.921875,0.35680559277534484863
5271,2808668842,46.207000000000000739,-3.9439999999999999503,-1.1478352546691894531,0.1090091317892074585,0,1,0.90625,0.36351880431175231934
5272,2808688844,46.207000000000000739,-3.9439999999999999503,-1.1456675529479980469,0.10837424863470684899,0,1,0.90625,0.36351880431175231934
5273,2808708809,46.219000000000001194,-3.9700000000000001954,-1.143502354621887207,0.10844970328629299772,0,1,0.90625,0.36351880431175231934
5274,2808728850,46.225000000000001421,-3.9830000000000000959,-1.1413463354110717773,0.10758042067838080591,0,1,0.90625,0.36351880431175231934
5275,2808748808,46.231000000000001648,-3.9959999999999999964,-1.1391648054122927025,0.10930604262848465924,0,1,0.90625,0.36351880431175231934
5276,2808768875,46.237000000000001876,-4.0090000000000003411,-1.1369899511337282494,0.10837964212709688683,0,1,0.90625,0.36351880431175231934
5277,2808768875,46.237000000000001876,-4.0090000000000003411,-1.1369899511337282494,0.10808043926954269409,0,1,0.875,0.37149077653884887695
5278,2808788923,46.249000000000002331,-4.0350000000000001421,-1.13480377197265625,0.1090472446663895284,0,1,0.875,0.37149077653884887695
5279,2808808878,46.249000000000002331,-4.0350000000000001421,-1.1326299905776977539,0.10893417163410153148,0,1,0.875,0.37149077653884887695
5280,2808828910,46.261000000000002785,-4.0609999999999999432,-1.130428314208984375,0.10990796569056406062,0,1,0.875,0.37149077653884887695
5281,2808848907,46.267000000000003013,-4.0739999999999998437,-1.1282273530960083008,0.11006456533360375882,0,1,0.875,0.37149077653884887695
5282,2808868899,46.27300000000000324,-4.0869999999999997442,-1.1260788440704345703,0.10746843865414817953,0,1,0.875,0.37149077653884887695
5283,2808868899,46.27300000000000324,-4.0869999999999997442,-1.1260788440704345703,0.10874378681182861328,0,1,0.859375,0.37988230586051940918
5284,2808888799,46.280000000000001137,-4.0999999999999996447,-1.1239010095596313477,0.10943892014086546716,0,1,0.859375,0.37988230586051940918
5285,2808908816,46.286000000000001364,-4.1130000000000004334,-1.1217055320739748314,0.10968064573396305028,0,1,0.859375,0.37988230586051940918
5286,2808928799,46.292000000000001592,-4.126000000000000334,-1.1195161342620849609,0.10956301916076907621,0,1,0.859375,0.37988230586051940918
5287,2808948802,46.304999999999999716,-4.150999999999999801,-1.1173628568649291992,0.10764772269938317761,0,1,0.859375,0.37988230586051940918
5288,2808968817,46.304999999999999716,-4.150999999999999801,-1.1151735782623291016,0.10938189370972260794,0,1,0.859375,0.37988230586051940918
5289,2808968817,46.304999999999999716,-4.150999999999999801,-1.1151735782623291016,0.10973881930112838745,0,1,0.82812494039535522461,0.38879832625389099121
5290,2808988820,46.317000000000000171,-4.1770000000000004903,-1.1130057573318481445,0.10837479030550202508,0,1,0.82812494039535522461,0.38879832625389099121
5291,2809008789,46.317000000000000171,-4.1770000000000004903,-1.1108329296112058326,0.10881004159657918506,0,1,0.82812494039535522461,0.38879832625389099121
5292,2809028822,46.329999999999998295,-4.2030000000000002913,-1.1086950302124023438,0.1067188837819453423,0,1,0.82812494039535522461,0.38879832625389099121
5293,2809048809,46.335999999999998522,-4.2160000000000001918,-1.1065341234207155541,0.10811561473392765353,0,1,0.82812494039535522461,0.38879832625389099121
5294,2809068788,46.343000000000003524,-4.2279999999999997584,-1.1043753623962402344,0.10805150530432441891,0,1,0.82812494039535522461,0.38879832625389099121
5295,2809068788,46.343000000000003524,-4.2279999999999997584,-1.1043753623962402344,0.1082131117582321167,0,1,0.8125,0.39698007702827453613
5296,2809088825,46.349000000000003752,-4.2409999999999996589,-1.1021951436996459961,0.10880963700125959037,0,1,0.8125,0.39698007702827453613
5297,2809108811,46.356000000000001648,-4.2540000000000004476,-1.1000541448593139648,0.10712492946722862452,0,1,0.8125,0.39698007702827453613
5298,2809128788,46.362000000000001876,-4.2670000000000003482,-1.097849726676940918,0.11034780909911633129,0,1,0.8125,0.39698007702827453613
5299,2809148838,46.375,-4.2919999999999998153,-1.0956234931945798561,0.11103408889580249075,0,1,0.8125,0.39698007702827453613
5300,2809168795,46.375,-4.2919999999999998153,-1.0934236049652099609,0.11023140899785124902,0,1,0.8125,0.39698007702827453613
5301,2809168795,46.375,-4.2919999999999998153,-1.0934236049652099609,0.11020316183567047119,0,1,0.796875,0.40568631887435913086
5302,2809188809,46.387999999999998124,-4.3170000000000001705,-1.0911915302276611328,0.11152566890920495579,0,1,0.796875,0.40568631887435913086
5303,2809208805,46.387999999999998124,-4.3170000000000001705,-1.0889892578125,0.1101356478876341638,0,1,0.796875,0.40568631887435913086
5304,2809228810,46.402000000000001023,-4.3429999999999999716,-1.086776733398437278,0.11059857106035991814,0,1,0.796875,0.40568631887435913086
5305,2809248813,46.408000000000001251,-4.3550000000000004263,-1.0845702886581420898,0.11030569116109634198,0,1,0.796875,0.40568631887435913086
5306,2809268824,46.408000000000001251,-4.3550000000000004263,-1.0823398828506467506,0.11145898793139361049,0,1,0.796875,0.40568631887435913086
5307,2809268824,46.408000000000001251,-4.3550000000000004263,-1.0823398828506467506,0.11093284934759140015,0,1,0.796875,0.41355341672897338867
5308,2809288820,46.42200000000000415,-4.3810000000000002274,-1.0801328420639038086,0.11037411415999019704,0,1,0.796875,0.41355341672897338867
5309,2809308794,46.42200000000000415,-4.3810000000000002274,-1.0779032707214357689,0.11162367790468918916,0,1,0.796875,0.41355341672897338867
5310,2809328815,46.435000000000002274,-4.4059999999999996945,-1.075665593147277832,0.11176652385783501786,0,1,0.796875,0.41355341672897338867
5311,2809348813,46.435000000000002274,-4.4059999999999996945,-1.0734255313873291016,0.11201428942637917108,0,1,0.796875,0.41355341672897338867
5312,2809368787,46.448999999999998067,-4.4310000000000000497,-1.071196436882019043,0.11159980501201856307,0,1,0.796875,0.41355341672897338867
5313,2809368787,46.448999999999998067,-4.4310000000000000497,-1.071196436882019043,0.11219321936368942261,0,1,0.78125,0.41942748427391052246
5314,2809388838,46.45600000000000307,-4.4430000000000005045,-1.0689154863357543945,0.11375744582637517532,0,1,0.78125,0.41942748427391052246
5315,2809408789,46.463000000000000966,-4.456000000000000405,-1.0666888952255246803,0.1116029828193820933,0,1,0.78125,0.41942748427391052246
5316,2809428801,46.469999999999998863,-4.4690000000000003055,-1.0644265413284301758,0.11304986493577487416,0,1,0.78125,0.41942748427391052246
5317,2809448828,46.477000000000003865,-4.4809999999999998721,-1.0621854066848754883,0.11190565953735893967,0,1,0.78125,0.41942748427391052246
5318,2809468812,46.484000000000001762,-4.4930000000000003268,-1.0598828792572021484,0.11521854622064352236,0,1,0.78125,0.41942748427391052246
